title,prefix,subtitle,full_title,key_note,description,pages,volume,publisher,series
"Economic Trends in the Republic of China, 1912–1949",,,"Economic Trends in the Republic of China, 1912–1949","<p class=""Keynote"">Surveys the history of the Chinese economy from the end of the Manchu dynasty to the establishment of the People's Republic</p>","<p class=""Toreview"">The Chinese economy prior to 1949 may be described as consisting of a large agricultural (or rural) sector encompassing approximately 75 percent of the population and a much smaller nonagricultural (or urban) sector with its principal base in the semimodern treaty port cities. Rural China grew the agricultural products which constituted 65 percent of national output, but also engaged the handicrafts, petty trade, and old-fashioned transportation. To the urban sector was attached with ties of varying strength, an agricultural hinterland located mainly along rivers and railways leading to the ports. This hinterland may be differentiated from the bulk of rural China by the greater degree to which it sold to and bought from the coastal and riverine cities of the urban sector.</p> <p class=""Bkdesc"">A revised edition of no. 1 in the series.</p>",123,31,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
Chang Ch'un-ch'iao and Shanghai's January Revolution,,,Chang Ch'un-ch'iao and Shanghai's January Revolution,,"<p class=""Toreview"">Shanghai's January Revolution was a highly visible and, by all accounts, crucially important event in China's Cultural Revolution. Its occurrence, along with the subsequent attempt to establish a ""commune"" form of municipal government, has greatly shaped our understanding both of the goals originally envisaged for the Cultural Revolution by its leaders and of the political positions held by the new corps of Party leaders thrust upward during its course—most notably Chang Ch'un ch'iao. At this interpretive level, the events in Shanghai seem to embody in microcosm the issues and conflicts in Chinese politics during the Cultural Revolution as a whole, while at the same time shaping our conception of what these larger issues and conflicts were. At the more general, theoretical level, however, the events in Shanghai provide us with an unusual opportunity (thanks to Red Guard raids on Party offices) to view the internal workings of the Party organization under a period of stress and to observe unrestrained interest group formation and mass political conflict through the press accounts provided by these unofficial groups themselves. The January Revolution thus provides us with an opportunity to develop better our more abstract, theoretical understanding of the functioning of the Chinese political system and the dynamics of the social system in which it operates. [1]</p>",150,32,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
Central Documents and Politburo Politics in China,,,Central Documents and Politburo Politics in China,"<p class=""Keynote"">A study of the dynamics at the center of Chinese politics as revealed in the ""Central Documents"" through which the leadership communicates with the rest of the political system.</p>","<p class=""Toreview"">Virtually every analysis of Chinese politics views the Politburo as the nerve center of the system, but questions abound as to how this center governs itself and how it interacts with the system around it. Specifically, how much consultation occurs during the drafting of major Politburo documents, and who is brought into this process? How is information channeled up to this body, and what are the rules that govern the access of the Politburo members themselves to data generated by the bureaucracies? How are the political strategies of individual leaders and political factions attuned to this system of information channeling? What types of decisions are reached by the Politburo? To whom are they communicated? How rigidly must they be followed? How institutionalized is this entire decision making system, and has it become more—or less—institutionalized over the years? How has the factional legacy of the Cultural Revolution affected its mode of operations? Indeed, in the wake of the Cultural Revolution, how much in control of the system has the Politburo itself been?</p> <p class=""Toreview""><i style=""mso-bidi-font-style: normal"">Central Documents in Politburo Politics in China </i>seeks to better understand these questions by analyzing a particular stream of largely bureaucratic communications in the Chinese system: the so-called ""Central Documents"" (CDs). This is a series of documents through which the top Party leadership directly communicates with the rest of the political system. [1]</p>",218,33,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
Ming Dynasty,The,Its Origins and Evolving Institutions,The Ming Dynasty: Its Origins and Evolving Institutions,,"<p class=""Toreview"">In the latter half of the fourteenth century, at one end of the Eurasian continent, the stage was not yet set for the emergence of modern nation-states. At the other end, the Chinese drove out their Mongol overlords, inaugurated a new native dynasty called Ming (1368–1644), and reasserted the mastery of their national destiny. It was a dramatic era of change, the full significance of which can only be perceived retrospectively.</p> <p class=""Toreview"">With the establishment of the Ming dynasty, a major historical tension rose into prominence between more absolutist and less absolutist modes of rulership. This produced a distinctive style of rule that modern students have come to call Ming despotism. It proved a capriciously absolutist pattern for Chinese government into our own time. [1, 2 ,3]</p>",105,34,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
Double Jeopardy,,A Critique of Seven Yüan Courtroom Dramas,Double Jeopardy: A Critique of Seven Yüan Courtroom Dramas,,"<p class=""Toreview"">Traditionally, criticism of Yüan drama has been dominated by the ""poetic"" and ""socialist"" schools. The present work represents a rather rigorous attempt to evaluate a group of plays by aesthetic criteria generated from within the work itself. Seven ""judgment reversal"" plays constitute the body of this work, and its two major preoccupations are language and the manipulation of dramatic characters—undoubtedly the most reliable indicators of the playwright's strength and craftsmanship in such a stylized art form as Yüan <i style=""mso-bidi-font-style:normal"">tsa-chü</i> drama. </p> <p class=""Toreview"">The method informing the present work is basically just <i style=""mso-bidi-font-style: normal"">explication du texte</i>, with particular attention to both the conventions of the genre and the individual characteristics of each play. Close scrutiny of some conventional aspects of <i style=""mso-bidi-font-style:normal"">tsa-chü</i>—the functions of lyric, verse, and prose and the significance of their distribution in the play; the custom of a single singing role and its implication for the presentation of dramatis personae, and so on—will reveal the innovation and creative vitality of the playwright. Even though <i style=""mso-bidi-font-style:normal"">Double Jeopardy</i> deals with a small subgroup within the genre, Yüan drama being as convention-bound as it is, some of the methods used and values adduced will be applicable to Yüan dramatic criticism as a whole. </p>",178,35,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
Chinese Domestic Politics and Foreign Policy in the 1970s,,,Chinese Domestic Politics and Foreign Policy in the 1970s,"<p class=""Keynote"">Two studies exploring the question of linkage between Beijing's foreign policy and domestic politics in the PRC</p>","<p class=""Toreview""><i style=""mso-bidi-font-style: normal"">Chinese Domestic Politics and Foreign Policy in the 1970s</i> undertakes a systematic examination of selected aspects of Peking's foreign policy, using content analysis, both quantitative and qualitative, of the media. The first study treats media images of the United States and Taiwan in 1976–77; the second analyzes domestic politics and foreign trade, 1971–1976. [1, 2]</p>",96,36,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
"Shanghai, 1925",,Urban Nationalism and the Defense of Foreign Privilege,"Shanghai, 1925: Urban Nationalism and the Defense of Foreign Privilege",,"<p class=""Toreview"">The May Thirtieth movement in Shanghai saw a convergence of forces in what was the largest and most influential city to grow up under the old unequal treaties. On the Chinese side there was a new nationalism, whose carriers were not only students and intellectuals, but also businessmen and workers, the Kuomintang and the Communist Party, the older politicians, the warlords, and the local satraps and their servants. On the other side, were the foreigners, whose home governments were ready to pursue gradualist and reformist policies in China, but who themselves saw little reason to change their ways and distrusted their home governments. In between were the Peking diplomats, the ministers and their staffs in foreign legations of the capital. </p> <p class=""Toreview""><i style=""mso-bidi-font-style: normal"">Shanghai, 1925</i> examines the ways in which these forces, these groups, acted on and with one another—the interactions between diplomacy and the popular movement in Shanghai. In particular, it explores how the British, the chief target of the movement, dealt with the attack on their position and their privilege in the greatest of the treaty ports as the revolution began. [xiv]</p>",125,37,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
Voices from Afar,,Modern Chinese Writers on Oppressed Peoples and Their Literature,Voices from Afar: Modern Chinese Writers on Oppressed Peoples and Their Literature,"<p class=""Keynote"">Examines the influence of translated works of literature by oppressed peoples in the West upon major literary and intellectual currents in China</p>","<p class=""Toreview"">The translation of literary works from one language and one cultural context into another poses questions common to both literary and intellectual history. Other people may learn of new literary techniques and subjects by means of translations or come in contact with new ideas and ways of thinking. <i style=""mso-bidi-font-style:normal"">Voices from Afar </i>seeks to understand the function of translations of Western literature in twentieth-century China, and to show how the translation of certain literary works was at specific times related to some major literary and intellectual currents. It considers three aspects: how Chinese commentators viewed the people whose writers wrote these literatures, what critical comments they made about literary works, and what kinds of works were actually translated. [xi]</p>",196,38,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
"Mao Zedong's ""Talks at the Yan'an Conference on Literature and Art""",,A Translation of the 1943 Text with Commentary,"Mao Zedong's ""Talks at the Yan'an Conference on Literature and Art"": A Translation of the 1943 Text with Commentary","<p class=""Keynote"">The complete text of Mao's influential pronouncements, with an examination of their literary, rather than political or historical, implications</p>","<p class=""Toreview"">The writings of Mao Zedong have been circulated throughout the world more widely, perhaps, than those of any other single person this century. The ""Talks at the Yan'an Conference on Literature and Art"" has occupied a prominent position among his many works and has been the subject of intense scrutiny both within and outside China. Yet, despite its undoubted importance to modern Chinese literature and history, the ""Talks"" has never been thoroughly examined with regard to various elements of literary theory therein contained, i.e., with regard to Mao's views on such questions as the relationship between writers or works of literature and their audience, or the nature and value of different kinds of literary products. While it can hardly be argued that a cohesive and comprehensive ""theory"" emerges in the course of Mao's ""Talks,"" the purpose of this study is to draw attention to those of Mao's comments whose significance is primarily literary, as distinguished from political or historical. [3]</p>",128,39,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
Yuarn Music Dramas,,Studies in Prosody and Structure and a Complete Catalogue of Northern Arias in the Dramatic Style,Yuarn Music Dramas: Studies in Prosody and Structure and a Complete Catalogue of Northern Arias in the Dramatic Style,,"<p class=""Toreview"">Part One of <i style=""mso-bidi-font-style:normal"">Yuarn Music Dramas </i>presents a detailed analysis of form and structure in Yuarn music drama, with sections on the act, the suite, the aria, the verse, metrics of repeated graph patterns, parallelism, and the matching of suite and mode. [vii]</p> <p class=""Toreview"">Part Two presents the first catalogue of arias of its kind to be published in a language other than Chinese. It is a compilation of all of the arias in the northern dramatic style that are found in the 162 titles contained in the <i style=""mso-bidi-font-style:normal"">Yuarn-chyuu shyuann</i> and the <i style=""mso-bidi-font-style:normal"">Yuarn-chyuu shyuaan waih-bian</i>. It is modeled on several such catalogues compiled over the past six hundred years. [99]</p>",376,40,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
Proclaiming Harmony,,,Proclaiming Harmony,"<p class=""Keynote"">A translation of the Chinese vernacular romance <i style=""mso-bidi-font-style: normal"">Xuanhe yishi</i> (<i style=""mso-bidi-font-style:normal"">Hsuan-ho i-shih</i>), written by an anonymous author in the late thirteenth or early fourteenth century</p>","<p class=""Toreview""><i style=""mso-bidi-font-style: normal"">Proclaiming Harmony </i>is a story of the Northern Song emperor Huizong as the dynasty begins its ignominious decline. Book I describes events leading up to the fall of the dynasty, while Book II picks up the tale as barbarian troops invade the capital and the deposed emperor and his son are forced into exile in the northern wilderness.</p>",200,41,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
Song for One or Two,A,Music and the Concept of Art in Early China,A Song for One or Two: Music and the Concept of Art in Early China,"<p class=""Keynote"">Formulates a general and tentative definition of aesthetics in China from early discussions of music [6]</p>","<p class=""Toreview"">This study of theories of music and art in China from the classical period to the Six Dynasties is based on analysis and interpretation of textual and archaeological evidence. Its wide-ranging sources include mythology, aesthetic philosophy, musical lore, and notation systems. The evolution of theories of music and art is considered in the context of cosmological and moral philosophy.</p>",216,42,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
Economic Development of Manchuria,The,The Rise of a Frontier Economy,The Economic Development of Manchuria: The Rise of a Frontier Economy,"<p class=""Keynote"">Kang ChaoA detailed economic study of the transformation of Manchuria after 1860</p>","<p class=""Toreview"">The economic development of Manchuria holds special fascination, since within the compass of a limited area and a self-contained time span of about one hundred years—between 1860 and 1960—we witness three different types of development patterns, based on three alternative sources of economic growth. The first and longest period, extending roughly from 1860 to 1930, was based on the development of an open frontier, the settlement of a new region. Application of the staple theory of growth to Manchurian conditions can help to illuminate the character of the growth process during this first period. In this connection the Manchurian development case invites comparison with growth processes in other newly settled regions, for example, the US, Canada, and Australia. [1]</p>",142,43,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
Bibliography of Chinese Language Materials on the People's Communes,A,,A Bibliography of Chinese Language Materials on the People's Communes,"<p class=""Keynote"">A comprehensive culling of information from some 137 Chinese journals on the topic of the commune, the most important administrative and planning unit in post-1949 China</p>","<p class=""Toreview"">A research tool for scholars studying modern China, particularly those focusing on the post-1949 communal system and economy. The work includes full bibliographic references to some 2,800 essay, articles, pamphlets, and other materials in Chinese taken from more than 130 publications, primarily from mainland. The entries are arranged are arranged topically with annotations. Includes a geographic index to the communes referred to in the listed items.</p>",334,44,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
Chinese Social and Economic History from the Song to 1900,,"Report of the American Delegation to a Sino-American Symposium, Beijing, 26 October–1 November 1980","Chinese Social and Economic History from the Song to 1900: Report of the American Delegation to a Sino-American Symposium, Beijing, 26 October–1 November 1980","<p class=""Keynote"">Conference papers and abstracts from the first Sino-American symposium of its kind</p>","<p class=""Toreview"">The Sino-American Symposium on Chinese Social and Economic History from the Song to 1900 was the first of its kind. It was a joint undertaking by Chinese and American historians in every respect: planning, participation, organization, and financing, and, above all, in the open, lively, and intensive exchange of scholarly views which characterized its sessions. [3]</p>",192,45,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
China's Universities,,Post-Mao Enrollment Policies and Their Impact on the Structure of Secondary Education,China's Universities: Post-Mao Enrollment Policies and Their Impact on the Structure of Secondary Education,"<p class=""Keynote"">Explores the effects of changing examination conventions on Chinese universities through interview analysis</p>","<p class=""Toreview"">This work focuses on changes in Chinese university enrollment policies in the post-Mao era and traces the effects of these policies on secondary education, reviewing the role and nature of national entrance examinations and describing screening and preparatory procedures for secondary level exams.</p>",176,46,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
Songs from Xanadu,,Studies in Mongol Dynasty Song-Poetry (San-ch'ü),Songs from Xanadu: Studies in Mongol Dynasty Song-Poetry (San-ch'ü),"<p class=""Keynote"">The most complete scholarly analysis of Mongol dynasty <i style=""mso-bidi-font-style: normal"">san-ch'ü </i>poetry available in English, with many translations</p>","<p class=""Toreview"">Crump presents the genre of<i style=""mso-bidi-font-style:normal""> san-ch'ü </i>poetry in a lively and entertaining manner. <i style=""mso-bidi-font-style:normal"">Song-Poems</i> begins with a brief survey of the origins of the genre and of its metrical intricacies and poetic conventions. Then, translating poems ranging from the Rabelaisian to the sublime, Crump explores its favorite themes: human absurdity, the poignant and comic aspects of love and desire, the futility of ambition, and the joys of rustic life. </p> <p class=""Toreview"">Interweaving lively translations of one hundred and twenty poems with discussion of their social and literary context, <i style=""mso-bidi-font-style:normal"">Song-Poems from Xanadu</i> is a succinct introduction to the special pleasures of these lyrics from the age of Kublai Khan. </p> <p class=""Toreview"">The Chinese texts of all poems are included along with notes, appendixes, bibliography, and character index.</p>",248,47,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
"Social Organization in South China, 1911–1949",,The Case of Kuan Lineage in K'ai-p'ing County,"Social Organization in South China, 1911–1949: The Case of Kuan Lineage in K'ai-p'ing County","<p class=""Keynote"">An exploration of the effects on patrilineal kinship ties of the social and political changes in the period between the revolutions of 1912 and 1949</p>","<p class=""Toreview"">Bridging the collapse of the Confucian state and the establishment of the People's Republic of China, the period 1911–49 is particularly fascinating to historians, anthropologists, sociologists and political scientists. Unfortunately, it is also a very confusing period, full of shifts and changes in economic, social, and political organizations. The social implications of these changes, and the relationships between officials on the subdistrict level, the unofficial leaders, and the bulk of the peasantry remain inadequately known. South China, which nurtured the Communist Party in its formative years, is a particularly interesting case. In this study I use the Kuan lineage of K'ai-p'ing as a case study to show the effects of demographic, economic, administrative, and educational changes after the Treaty of Nanking (1842) on patrilineal kinship as a principle of social organization in South China. [vii]</p>",176,48,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
Labor and the Chinese Revolution,,"Class Strategies and Contradictions of Chinese Communism, 1928–1948","Labor and the Chinese Revolution: Class Strategies and Contradictions of Chinese Communism, 1928–1948","<p class=""Keynote"">A definitive chronological study of labor's role in the revolution, drawing upon a wide range of Chinese and Western sources</p>","<p class=""Toreview"">In the two-decade period from 1928 to 1948, the proletarian themes and issues underlying the Chinese Communist Party's ideological utterances were shrouded in rhetoric designed, perhaps, as much to disguise as to chart actual class strategies. Rhetoric notwithstanding, a careful analysis of such pronouncements is vitally important in following and evaluating the party's changing lines during this key revolutionary period. The function of the ""proletariat"" in the complex of policy issues and leadership struggles which developed under the precarious circumstances of those years had an importance out of all proportion to labor's relatively minor role in the post-1927 Communist led revolution. [1, 2]</p>",360,49,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
Soviet Studies of Premodern China,,Assessments of Recent Scholarship,Soviet Studies of Premodern China: Assessments of Recent Scholarship,"<p class=""Keynote"">The first complete survey of Soviet work on premodern Chinese literature and history</p>","<p class=""Toreview""><i style=""mso-bidi-font-style: normal"">Soviet Studies of Premodern China </i>is an important source of secondary scholarship to American and European Sinologists. </p>",264,50,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
Career Patterns in the Ch'ing Dynasty,,The Office of the Governor General,Career Patterns in the Ch'ing Dynasty: The Office of the Governor General,,"<p class=""Toreview"">The office of governor general (<i style=""mso-bidi-font-style:normal"">tsung-tu</i>) was the highest provincial post throughout the Ch'ing dynasty. As such, it was a vital link in the control of a vast empire by a very small and alien ruling elite. This is primarily a biographical and statistical analysis of the incumbents of that office. By analyzing the biographical data of those who held the position of governor-general, much may be learned about the nature of the office itself. However, the main objective of the study is to provide information on career patterns, that is, the variety of different posts held from the first official appointment to that of governor-general, of an important cross section of successful Ch'ing bureaucrats. By plotting and analyzing the different patterns their official careers took, we should be able to determine what kind of men reached the top of China's provincial and national administration during the final centuries of China's imperial history; the qualifications that were required; the factors which prompted rapid promotion or sudden disgrace. We should also be able to determine the extent to which these and other factors varied markedly among Manchu, Mongol, Chinese Bannerman, and Han incumbents and whether changes throughout the dynasty can be detected in policies concerning the office or in the career patterns of its personnel. If such detection is possible, this study may lend support to the view that late imperial China was not static, but a society undergoing significant changes. [xi]</p>",143,51,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
Individualism and Holism,,Studies in Confucian and Taoist Values,Individualism and Holism: Studies in Confucian and Taoist Values,"<p class=""Keynote"">Fifteen essays addressing conceptions of individualism and holism as they emerged in Chinese literature and philosophy from the time of Confucius and Chuang-tzu to the present</p>","<p class=""Toreview"">The notion of ""individualism"" inevitably creeps into the conversation of Americans who try to compare their country with China. It is something we supposedly have and prize which the Chinese do not now have nor probably ever had. For several generations, noncommunists and communists in China have excoriated individualism as the equivalent of selfishness. For them it is a morally insupportable value, not least because it is thought to fragment societies. Inasmuch as the word ""individualism"" defines a number of different, though related, value concepts in modern usage, the point of departure for our analysis will be the examination of each of these. This approach will enable us to judge exactly what it is we were supposed to have, whether or not the concept has played a role in Chinese society, past or present, and, if so, what significance has been attached to it.</p> <p class=""Toreview"">The word ""holism"" rarely creeps into anyone's conversation, except, perhaps, that of the sociologist or philosopher. It is a scholarly word. Yet there is considerable overlap between lay remarks about individual interest being subordinate to group interest and the scholar's technical descriptions of what some holisms expect of people. The ideas suggested by the term are not exclusively scholarly. It seems to point to some Chinese ways of thinking about relations among individuals that contrast with our ways. But if anything, it is vaguer than ""individualism."" [1]</p>",416,52,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
Educational Reform in Early Twentieth-Century China,,,Educational Reform in Early Twentieth-Century China,"<p class=""Keynote"">Marianne Bastid's important study on the work of Zhang Jian and the educational reforms in the last years of the Qing dynasty, 1901–1912</p>","<p class=""Toreview"">Marianne Bastid-Bruguiere's pioneering study is the only comprehensive work on late Qing educational reform now available. It is an invaluable contribution to our understanding of China during the last years of the Qing dynasty, covering the political, economic, social, and intellectual aspects of educational reform. </p> <p class=""Toreview""><i style=""mso-bidi-font-style: normal"">Educational Reform in Early Twentieth-Century China</i> focuses on an analysis of the practice and results of educational reform from 1901 to 1912 by examining the activities and thought of Zhang Jian, a member of the group defined as ""modern gentry,"" men who held traditional degrees but were involved in modern industry or commerce. She discusses the initial collaboration of government and modern gentry in the establishment of modern schools and their later conflict as the modern gentry began to perceive educational reform as part of a wider program of ""local autonomy,"" which would give them, rather than the bureaucracy, control over local administration. [xi–xii]</p> <p class=""Toreview"">Includes nine texts by Zhang Jian and a new introduction by the translator.</p>",352,53,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
"Red Spears, 1916–1949",The,,"The Red Spears, 1916–1949",,"<p class=""Toreview"">Before Tai Hsüan-chih's work on the Red Spear Society, the subject was a little understood movement that seemed of only passing interest to scholars of China—intriguing for its peculiar beliefs and rituals, perhaps, but hardly of central importance to modern Chinese history. Today, however, thanks in no small measure to the pioneering work of Professor Tai, the Red Spears have gained a secure niche in scholarship on modern China. Their numbers (reaching perhaps some three million participants at the height of the movement) and enduring (lasting intermittently for several decades) should stand as reason enough for the recent scholarly attention. </p> <p class=""Toreview"">But the Red Spears have generated interest for other reasons as well. As research has developed into the history both of China's traditional rural rebellions and of her Communist revolution has developed over the past few years, the Red Spears have assumed increasing significance. A movement which bore marked similarities to earlier Chinese uprisings (most notably the Boxers), the Red Spears nevertheless operated in a later period of history (right through the middle of the twentieth century) which brought them in direct contact with Communist revolutionaries. An analysis of the Red Spears thus becomes important both for what it can tell us about longstanding patterns of rural rebellion in China, and for what it suggests about the nature of Chinese revolution.</p>",,54,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
Paths to Power,,Elite Mobility in Contemporary China,Paths to Power: Elite Mobility in Contemporary China,"<p class=""Keynote"">Searches the lives of six top politicians in the post-Mao Zedong era for answers about their paths to power</p>","<p class=""Toreview"">Grappling with enduring questions about the means of achieving power in the Chinese Communist hierarchy, this study analyzes the rise of six individuals (Ji Dengkui, Peng Chong, Gu Mu, Yu Qiuli, Xu Shiyou, and Chen Xilian) who held positions of elite political power in the immediate post-Mao Zedong era. In a new preface, the author applies his hypotheses to China's more recent political developments.</p>",416,55,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
Citizens and Groups in Contemporary China,,,Citizens and Groups in Contemporary China,"<p class=""Keynote"">Uses an interest-group approach to look at policymaking in China through studies of the roles of workers, peasants, scientists, intellectuals, managers, and the military</p>","<p class=""Toreview""><i style=""mso-bidi-font-style: normal"">Citizens and Groups in Contemporary China</i> began with two symposia held in 1977 and 1978. The first, a workshop on ""The Pursuit of Interest in China,"" was held in August 1977 at the University of Michigan, and was organized by Michel Oksenberg and Richard Baum. It was supported by a grant from the Joint Committee on Contemporary China of the Social Science Research Council and the American Council of Learned Societies, using funds provided by the Andrew Mellon Foundation. Its principal goal was to use detailed case studies to explore the relevance of interest group approaches to the study of Chinese politics. The second, a panel organized by the editor for the 1978 Chicago meeting of the Association of Asian Studies, sought to apply participatory approaches to the role of social groups in the Chinese political process. The striking degree of overlap in the focus, methodology, and participants in both meetings suggested to a number of the paper writers that there was a need for a more eclectic approach which would focus simultaneously on individual and group actors. The recognition that a volume based on such an approach might serve the needs of students and scholars seeking to examine the dynamics of informal influence and power in China was the stimulus for publishing the studies presented here in book form. [ix]</p>",336,56,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
Exiles at Home,,Short Stories by Ch'en Ying-chen,Exiles at Home: Short Stories by Ch'en Ying-chen,"<p class=""Keynote"">Nine stories imbued with the unique empathy and aesthetic strength of their author, the intellectual godfather of many contemporary Chinese writers in Taiwan and around the world</p>","<p class=""Bkdesc"">When <i style=""mso-bidi-font-style:normal"">Exiles at Home </i>first appeared in 1986, Ch'en Ying-chen was already hailed as a central figure in the Native Literature movement in Taiwan. Ch'en, who spent seven years in prison on political ""subversion"" charges, is known for his often brutal honesty about rural poverty and the bland hypocrisies of the middle class. Deeply moral, Ch'en's nine stories here capture his personal alienation, touching on issues of racism, business ethics, and social nonconformity that continue to worry Chinese society on both sides of the straits. </p> <p class=""Bkdesc"">Lucien Miller's translation deftly conveys the force and the spirit of Ch'en's prose; his colloquial American English suits Chen's jabs at Taiwan's Americanization. This was the first collection of Ch'en's stories to appear in English and its stories still challenge readers with Ch'en's keen social consciousness and commitment to the Chinese literary tradition.</p>",212,57,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
Geographical Sources of Ming-Qing History,,,Geographical Sources of Ming-Qing History,"<p class=""Keynote"">An essential bibliographical tool for researchers of Chinese social, cultural, and religious history.</p>","<p class=""Bkdesc"">First published in 1988 in response to the growing need for documentation concerning local history in the late imperial period, <i style=""mso-bidi-font-style:normal"">Geographical Sources</i> provides bibliographical data regarding two distinct genres: route books, and topographical and institutional gazetteers. In its second edition, this essential research tool has been completely revised and expanded with close to one hundred new entries, which provide complete coverage of these important sources for research in Chinese social, cultural, and religious history. The separate introductions to the two genres introduce the student to the history and uses of these materials. In addition to providing bibliographic data and noting variant editions, each entry provides locations where a work or its later editions can be found, whether in North America, Europe, China, or Japan.</p>",296,58,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
Mandarin and the Cadre,,China's Political Cultures,Mandarin and the Cadre: China's Political Cultures,"<p class=""Keynote"">Searches for the secrets of the durability of Chinese culture during the Leninist transformations of the 20th century</p>","<p class=""Toreview"">Combining political psychology with his own insights into Chinese culture, Pye addresses perplexing but profoundly important questions about Chinese political behavior and makes fundamental contributions both to our understanding of the political culture of China and to the theory of political culture itself.</p>",216,59,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
Nourish the People,,"The State Civilian Granary System in China, 1650–1850","Nourish the People: The State Civilian Granary System in China, 1650–1850","<p class=""Keynote"">An exhaustive analysis of the Chinese state civilian granary system by a team of scholars</p>","<p class=""Toreview"">The Qing state, driven by Confucian precepts of good government and urgent practical needs, committed vast resources to its granaries. Nourish the People traces the basic practices of this system, analyzes the organizational bases of its successes and failures, and examines variant practices in different regions. The volume concludes with an assessment of the granary system's social and economic impact and historical comparison with the food supply policies of other states.</p>",638,60,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
Taoist Meditation and Longevity Techniques,,,Taoist Meditation and Longevity Techniques,"<p class=""Keynote"">French, German, and Japanese scholars explore historical and technical as well as religious aspects of Taoism, ranging from pre-Han practice to the contemporary revival</p>","<p class=""Toreview""><i style=""mso-bidi-font-style: normal"">Taoist Meditation and Longevity Techniques </i>covers the major areas of Taoist meditation and longevity techniques in roughly chronological order. The book addresses itself to the China area specialist or the scholar of religion and the history of science who wishes to know more about (and perhaps even must teach) aspects of Chinese culture that involve Taoism and traditional medicine. [viii, ix]</p> <p class=""Toreview"">Other topics include Japanese interpretations of longevity techniques, drugs and immortality, visualization and ecstatic experience, and qigong and gymnastics.</p>",400,61,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
Chinese Theater in Days of Kublai Khan,,,Chinese Theater in Days of Kublai Khan,"<p class=""Keynote"">A complete introduction to the riches of Yuan drama by one of the foremost authorities on Chinese theater in the West</p>","<p class=""Toreview"">Crump discusses social and historical context, stages, stagecraft, and literary art of Yuan drama and presents complete translations of three plays—a bandit adventure, a melodrama, and a murder mystery.</p>",440,62,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
In the Voice of Others,,Chinese Music Bureau Poetry,In the Voice of Others: Chinese Music Bureau Poetry,"<p class=""Keynote"">Resurrects for the modern reader a significant body of ancient Chinese literature </p>","<p class=""Toreview""><i style=""mso-bidi-font-style: normal"">In the Voice of Others</i> applies new critical methods to medieval works in the genre know as Music Bureau poetry (<i style=""mso-bidi-font-style:normal"">yuefu shi</i>), stripping away layers of ossified conventional reading to expose the genre's vital core. Arguing that Music Bureau poetry is best understood in terms of the imitative poetics now known as intratextuality, Allen explores the evolution of <i style=""mso-bidi-font-style: normal"">yuefu</i> poetry and issues central to all genre formation. <i style=""mso-bidi-font-style:normal"">In the Voice of Others</i> culminates in an in-depth consideration of the acknowledged master of Music Bureau poetry, the Tang poet Li Bo (Li Po).</p>",304,63,UM Center for Chinese Studies,Michigan Monographs in Chinese Studies
